Position in alignment, Recombination breakpoint number (200nt win), Upper 99% CI, Lower 99% CI, Upper 95% CI, Lower 95% CI
395,22.48904,25.7795,7.900365,22.98102,9.298308
397,22.52275,25.78767,8.068791,23.04173,9.320913
399,22.52764,25.77255,8.063583,23.00992,9.278217
401,22.52561,25.78322,8.059754,23.06586,9.382737
403,22.44762,25.68638,8.032062,22.95206,9.36908
405,22.30484,25.65927,7.972265,23.06309,9.309868
407,22.16272,25.73857,7.966521,23.01085,9.196965
409,21.95987,25.68452,7.735627,22.7958,9.192347
411,21.82334,25.527,7.787631,22.60438,9.17929
413,21.66621,25.46177,7.689476,22.52423,9.113177
415,21.57964,25.35566,7.661908,22.42404,9.032927
417,21.47894,25.24331,7.634534,22.32827,8.989274
419,21.36618,25.16759,7.596668,22.12663,8.945062
421,21.06562,24.97399,7.483894,21.83784,8.734419
423,20.94343,24.36547,7.287697,21.42856,8.646827
425,20.87953,24.25279,7.208158,21.37176,8.662929
427,20.95634,24.2877,7.092475,21.25372,8.596686
429,21.14852,24.09354,7.002534,21.13976,8.557464
431,21.3779,24.16181,6.928787,21.17451,8.483813
433,21.37959,23.99443,6.937921,21.17428,8.516382
435,21.38128,23.92948,6.932795,21.1495,8.526318
437,21.38398,24.18332,6.995604,21.3081,8.564216
439,21.38466,24.05147,7.031332,21.40298,8.548639
441,21.18485,23.61082,6.984933,21.02803,8.442908
443,21.23667,23.56561,6.91181,20.90934,8.348434
445,21.28245,23.62251,6.879304,20.66659,8.193164
447,21.30155,23.42291,6.765661,20.5308,8.146836
449,21.01756,22.98924,6.588462,20.45507,8.066738
451,20.36768,22.7831,6.392922,20.18995,7.827185
453,19.97773,22.76961,6.240266,20.0814,7.605343
455,19.58286,22.7896,6.237228,19.79867,7.511836
457,19.49892,22.30369,6.19523,19.68728,7.45489
459,19.46947,21.67034,5.910319,19.55832,7.304195
461,19.40884,21.44087,5.752231,19.42431,7.21418
463,19.37167,21.2703,5.685056,19.18916,7.082616
465,19.30101,21.19171,5.594936,19.14469,6.678859
467,19.23806,20.38949,5.486152,18.817,6.672212
469,19.23468,20.34443,5.463552,18.84135,6.677592
471,19.2313,20.31558,5.440951,18.85622,6.682972
473,19.24473,20.5317,5.497594,19.0925,6.808474
475,19.2737,20.56866,5.551406,19.194,6.793616
477,19.30268,20.60512,5.564983,19.18864,6.772701
479,19.32123,20.63412,5.551031,19.26981,6.751762
481,19.32934,20.74654,5.586112,19.23569,6.80469
483,19.3383,20.97916,5.523526,19.26498,6.786969
485,18.91763,20.49671,5.32187,19.02686,6.655912
487,18.14006,20.11415,4.883368,18.42893,6.324064
489,17.72491,19.61216,4.725205,18.13703,6.173197
491,17.23482,18.92323,4.17174,17.78009,6.079154
493,17.03376,18.45654,3.988101,17.37183,6.004408
495,16.79749,18.28189,3.949646,16.99071,5.688969
497,16.48008,18.12636,3.778515,16.65851,5.630719
499,16.25922,17.81789,3.763054,16.3637,5.556598
501,15.95884,17.59029,3.76072,15.95383,5.406113
503,15.17214,17.30156,3.760963,15.70421,5.175141
505,15.15443,17.47956,3.7706,15.70841,5.172798
507,15.13592,17.68127,3.781612,15.80554,5.16892
509,15.11741,17.93204,3.792624,15.92761,5.170516
511,15.10149,18.11404,3.829301,16.19913,5.359396
513,15.09516,18.4943,4.181163,16.59146,5.772899
515,15.08856,18.57157,4.277105,16.74891,5.885168
517,15.08197,18.64884,4.373048,16.92931,5.935339
519,15.07507,18.77318,4.577585,17.10217,5.968372
521,15.06807,18.97059,4.626818,17.26318,6.032302
523,15.07739,19.27352,4.649847,17.7168,6.15118
525,15.08744,19.41658,4.688945,18.01505,6.202182
527,15.0819,19.47261,4.752483,18.19852,6.272435
529,15.06862,19.72865,4.832336,18.38914,6.300721
531,15.04761,19.80355,4.840926,18.42325,6.338091
533,15.02465,19.83818,4.838657,18.51744,6.361408
535,14.99862,20.09226,4.862541,18.62024,6.429264
537,14.96952,20.57211,4.899536,18.7623,6.541657
539,14.96946,20.65514,5.141025,18.7515,6.557149
541,14.73671,20.68768,5.239499,18.92789,6.587832
543,14.34654,20.69142,5.207273,18.93776,6.596956
545,13.88345,20.66499,5.120948,18.95537,6.558784
547,13.54469,20.62876,5.131179,18.91191,6.568827
549,13.20729,20.58092,5.207917,18.89664,6.539313
551,12.86989,20.54727,5.312992,18.7909,6.500567
553,12.7326,20.59007,5.281045,18.72227,6.476143
555,12.60066,20.66473,5.229097,18.72645,6.445824
557,12.41996,20.75527,5.198313,18.73121,6.455555
559,12.23272,20.84508,5.157803,18.73277,6.473712
561,11.98099,20.85088,5.083315,18.74759,6.432967
563,11.65869,20.78414,4.978026,18.78918,6.390225
565,11.20591,20.66706,4.881912,18.77695,6.322103
567,10.58991,20.36165,4.769839,18.45154,6.208032
569,10.10262,19.53935,4.401802,17.71099,5.679706
571,9.9315,19.36945,4.334842,17.49432,5.491962
573,9.69489,19.16757,4.278746,17.30332,5.457211
575,9.392786,18.96017,4.238186,17.14885,5.438749
577,9.37087,18.90213,4.199274,17.01122,5.438546
579,9.336247,19.14875,4.16424,16.96691,5.424273
581,9.301996,19.03448,4.164134,16.77966,5.214127
583,9.188187,18.84557,4.143254,16.56019,5.026221
585,9.051286,18.86972,4.118561,16.45482,5.002938
587,8.929863,18.57269,4.074484,16.34407,4.932419
589,8.801512,18.39525,4.033889,16.20277,4.942691
591,8.57065,18.1269,3.913042,16.11611,4.908261
593,8.153052,17.53259,3.800026,15.70499,4.918517
595,7.876598,17.69054,3.789631,15.37151,4.768119
597,7.977557,18.02172,3.795031,15.29522,4.685668
599,8.472247,18.31647,3.80534,15.62125,4.942851
601,8.82516,18.37341,3.763717,15.71564,4.964128
603,8.843412,18.22303,3.684027,15.77156,5.131731
605,8.864701,17.86659,3.668469,15.7925,5.177813
607,8.885571,17.82423,3.623733,15.79701,5.23118
609,9.024405,18.0774,3.685283,16.04543,5.319746
611,9.053124,18.04024,3.703829,16.08418,5.410981
613,9.07579,18.00651,3.756123,16.19046,5.420867
615,9.086306,17.96716,3.854833,16.16144,5.441456
617,9.097548,18.09637,3.853626,16.19885,5.465678
619,9.129766,18.28554,3.804583,16.27023,5.503502
621,9.183374,18.30104,3.790774,16.36199,5.573474
623,9.432387,18.66173,4.034703,16.5741,5.871609
625,9.959867,19.10664,4.094499,16.74783,5.988918
627,9.912944,19.23843,4.079459,16.84669,5.916592
629,9.710611,19.1757,4.054886,16.81887,5.894421
631,9.441151,18.89786,4.010266,16.78566,5.913152
633,9.482249,18.79446,3.987474,16.86693,5.866147
635,9.542933,18.719,3.973381,16.83556,5.761895
637,9.635856,18.70133,3.957022,16.69739,5.761685
639,9.784929,18.59471,3.938557,16.75687,5.80535
641,9.992351,18.58183,3.935142,16.71034,5.799626
643,10.05433,18.41161,3.913446,16.74957,5.6844
645,10.03588,18.28842,3.854591,16.61351,5.585527
647,9.996633,18.16697,3.843039,16.52823,5.533208
649,9.825103,17.94057,3.807638,16.38504,5.413397
651,9.688061,17.84353,3.727404,16.38303,5.394655
653,9.609549,17.79442,3.66244,16.35325,5.377676
655,9.566165,17.75461,3.611291,16.31095,5.360407
657,9.516971,17.72042,3.592244,16.27855,5.189555
659,9.468843,17.6676,3.589021,16.25881,5.26424
661,9.464178,17.60559,3.588886,16.25437,5.240395
663,9.445155,17.56341,3.597316,16.24634,5.211154
665,9.426132,17.5301,3.605805,16.20489,5.26927
667,9.407109,17.47551,3.614295,16.19233,5.245351
669,9.374756,17.49051,3.622411,16.14317,5.227508
671,9.342402,17.50599,3.630526,16.11705,5.203863
673,9.293349,17.19686,3.642859,15.92167,5.075074
675,9.228652,17.12959,3.655134,15.83092,5.139267
677,9.163954,17.13488,3.62862,15.8302,5.170185
679,9.109688,17.20845,3.60916,15.78705,5.178071
681,9.073878,17.26893,3.620995,15.97055,5.184274
683,9.039545,17.41223,3.885723,16.10946,5.25265
685,9.002001,17.85072,3.941564,16.45724,5.312691
687,8.963693,18.27252,3.954751,16.3795,5.425048
689,8.927583,18.55821,3.945813,16.36026,5.431178
691,8.802439,18.72798,4.135529,16.59047,5.51557
693,8.684224,18.78843,4.163482,16.67236,5.522979
695,8.578752,18.87891,4.226569,16.76125,5.540816
697,8.554743,18.98878,4.267279,16.84859,5.56916
699,8.632331,19.19825,4.376282,17.04352,5.60658
701,8.75266,19.2556,4.371382,17.12192,5.619606
703,8.738219,19.25266,4.370514,17.0829,5.600657
705,8.725796,19.24028,4.369154,17.01974,5.59276
707,8.714159,19.21751,4.391888,16.99568,5.472973
709,8.702508,19.19326,4.434639,16.95209,5.454747
711,8.687609,19.17081,4.466627,16.94955,5.354647
713,8.663118,18.4753,4.242698,16.27407,5.149738
715,8.638891,18.53429,4.241843,16.12659,5.138736
717,8.614664,18.59328,4.115406,16.05774,5.125837
719,8.590744,18.38912,3.744482,15.92379,5.062955
721,8.762947,18.1174,3.822173,16.13921,5.153565
723,8.756519,18.03024,3.792226,16.16765,5.192035
725,8.734982,17.94492,3.788946,16.05679,5.079293
727,8.715405,17.93688,3.79015,15.82366,5.031556
729,8.704956,17.92388,3.792254,15.8773,5.082648
731,8.702992,17.91916,3.794346,15.95179,5.062754
733,8.696296,18.05315,3.928651,16.03753,5.082558
735,8.695704,18.02934,3.932897,15.86962,5.146574
737,8.698189,17.99783,3.939101,15.80456,5.188557
739,8.628285,17.98756,3.469146,15.67222,5.065311
741,8.627886,17.99355,3.575806,15.6943,5.001247
743,8.654691,17.95127,3.641528,15.53968,4.947474
745,8.665928,17.9043,3.503633,15.42557,4.949432
747,8.675755,18.16114,3.604114,15.37755,5.004475
749,8.675799,18.30332,3.699874,15.41507,4.944234
751,8.667444,18.43406,3.774704,15.47226,5.04546
753,8.645532,18.43991,3.79645,15.49556,5.062014
755,8.612684,18.4273,3.798829,15.50533,5.078928
757,8.567173,18.33094,3.808888,15.48167,5.064105
759,8.526403,18.16686,3.819265,15.53262,5.09654
761,8.485436,18.01037,3.827222,15.54151,5.069983
763,8.450489,17.86403,3.833249,15.52265,5.01145
765,8.374265,17.69635,3.800978,15.46564,4.953803
767,8.3137,17.53066,3.737316,15.50714,4.923689
769,8.266279,17.55877,3.718956,15.57679,4.9421
771,8.353357,18.18112,3.837188,15.68769,4.996243
773,8.421763,18.36876,3.974938,15.77157,5.010635
775,8.48154,18.47309,4.044955,15.84224,4.999206
777,8.516519,18.52789,4.107301,15.85227,4.933388
779,8.527491,18.54064,4.137536,15.84557,4.871579
781,8.505795,18.55044,4.128211,15.78348,4.8756
783,8.510484,18.52305,4.108413,15.70497,4.83771
785,8.515485,18.4742,4.139004,15.65708,4.838408
787,8.520798,18.36794,4.166712,15.56387,4.837725
789,8.485784,18.26842,4.119301,15.50864,4.827991
791,8.41062,18.18293,4.045365,15.47829,4.83633
793,8.335634,18.09878,3.97353,15.44419,4.835627
795,8.236011,17.98159,3.797288,15.39368,4.81878
797,8.109365,17.83252,3.747628,15.3023,4.712205
799,7.61069,17.03246,3.598867,14.74467,4.466351
801,7.252971,16.66766,3.567245,14.51675,4.39826
803,7.240726,16.42958,3.539257,14.44275,4.379471
805,7.236442,16.48923,3.528604,14.40378,4.351861
807,7.278879,16.72988,3.640358,14.93453,4.448277
809,7.116807,16.68956,3.705442,14.86772,4.462665
811,7.063296,16.49792,3.666856,14.72696,4.554944
813,7.014104,16.53331,3.637941,14.57033,4.54818
815,6.977696,16.57613,3.626148,14.53132,4.593478
817,6.940819,16.53774,3.548765,14.61946,4.587084
819,6.882553,16.49249,3.435456,14.63344,4.545938
821,6.80904,16.24778,3.371466,14.62228,4.532991
823,6.546266,15.96852,3.349286,14.29487,4.372379
825,5.993546,15.74532,3.278106,14.07668,4.167764
827,5.892213,15.60654,3.236314,13.87078,4.160824
829,5.815346,15.58,3.278726,13.77043,4.182125
831,5.736581,15.58626,3.215718,13.79171,4.193813
833,5.656111,15.67638,3.156404,13.74064,4.304877
835,5.556186,15.70263,3.205606,13.74969,4.292746
837,5.423249,15.67222,3.177361,13.79344,4.309299
839,5.232604,15.81208,3.175727,13.70695,4.169497
841,4.982053,15.73195,3.172273,13.50563,4.257154
843,4.80536,15.60592,3.133834,13.5553,4.163924
845,4.705056,15.72085,2.985974,13.74726,4.149976
847,4.63824,15.8273,2.932152,13.90253,4.153298
849,4.607446,15.93563,3.136489,13.88616,4.156806
851,4.594957,16.04232,3.144223,13.92949,4.186049
853,4.574488,16.14745,3.147529,13.94625,4.216658
855,4.548213,16.13522,3.150834,13.97264,4.236408
857,4.525346,16.20049,3.174725,14.13286,4.27976
859,4.502469,16.27022,3.157464,14.1769,4.29923
861,4.493823,16.31871,3.160757,14.21859,4.305822
863,4.508098,16.55426,3.165826,14.34925,4.377424
865,4.507438,16.57792,3.264149,14.55123,4.363147
867,4.504371,16.5994,3.308129,14.57461,4.345548
869,4.513431,16.74321,3.346359,14.80529,4.403245
871,4.531229,16.96011,3.39312,14.96566,4.484898
873,4.548978,17.05353,3.436735,15.19222,4.586101
875,4.581479,17.15751,3.475596,15.3902,4.624215
877,4.689116,17.24639,3.553261,15.57781,4.699924
879,4.754744,17.72543,3.697161,15.83514,4.802637
881,4.812579,17.81629,3.768051,15.95572,4.970267
883,4.862602,17.38471,3.79089,15.82418,4.936045
885,4.922619,17.21473,3.751445,15.61775,4.870344
887,5.009557,17.23878,3.807322,15.5448,4.877182
889,5.086911,17.55872,3.840846,15.75473,4.836389
891,5.144845,17.78122,3.926667,15.7562,4.950582
893,5.194323,17.64845,4.020691,15.81783,5.079706
895,5.227357,18.02466,4.100816,15.96273,5.122161
897,5.29199,18.54481,4.209988,16.05637,5.078375
899,5.270412,18.31754,4.181397,16.02293,4.973716
901,5.199202,18.34953,4.234118,16.10527,4.991791
903,5.290017,18.2478,4.345183,16.24628,5.181741
905,5.331022,18.14873,4.318737,16.3977,5.211043
907,5.322229,18.15974,4.324458,16.5322,5.204243
909,5.313323,18.19236,4.386631,16.6472,5.263794
911,5.326265,18.27133,4.572938,16.74892,5.355528
913,5.414212,18.71216,4.738952,17.04027,5.533386
915,5.398221,18.8529,4.754395,16.96797,5.581056
917,5.382231,18.99363,4.740858,16.99333,5.646073
919,5.36624,19.13437,4.791226,17.01869,5.667909
921,5.154228,18.87075,4.578293,16.63696,5.438796
923,5.104527,18.91187,4.572236,16.57838,5.447629
925,5.069198,18.96008,4.598348,16.55364,5.413305
927,5.204125,19.30675,4.649804,16.58995,5.403911
929,5.29509,19.57354,4.531676,16.5324,5.38125
931,5.313048,19.84722,4.441046,16.58977,5.454587
933,5.379989,20.14162,4.633006,16.53532,5.499683
935,5.387177,20.29129,4.663144,16.66151,5.590302
937,5.377191,20.32877,4.64159,16.68236,5.602187
939,5.374724,20.36018,4.638455,16.70971,5.61401
941,5.340853,20.38907,4.651725,16.69493,5.61698
943,5.317875,20.30252,4.617681,16.6911,5.62759
945,5.310853,20.21045,4.663581,16.63899,5.643762
947,5.31907,20.12278,4.657336,16.6851,5.670914
949,5.350512,20.14141,4.586933,16.94751,5.70671
951,5.42229,20.12449,4.638669,16.92513,5.504483
953,5.497792,20.15606,4.612671,16.95273,5.515944
955,5.574395,20.18766,4.541865,17.0983,5.629963
957,5.665016,20.21765,4.542089,17.16073,5.622839
959,5.759859,20.20432,4.660521,17.19449,5.689666
961,5.862116,20.16668,4.781908,17.26325,5.773752
963,6.013438,20.62172,4.870582,17.62943,5.992986
965,6.117863,20.70459,4.94997,17.87945,6.047952
967,6.206721,20.4438,4.981884,18.0336,6.073895
969,6.284457,20.46058,5.022762,18.11057,6.107116
971,6.265589,20.56751,4.957771,18.04706,6.106171
973,6.262008,20.59576,4.963149,18.09897,6.113454
975,6.228338,20.49976,4.982347,18.13688,6.091019
977,6.230987,20.51077,5.006793,18.22204,6.108718
979,6.297873,20.54142,5.037068,18.2459,6.149154
981,6.420479,20.74303,5.080727,18.47997,6.175662
983,6.547054,20.99665,5.234562,18.65371,6.164155
985,6.659692,21.24218,5.267611,18.95452,6.287028
987,6.76473,21.48326,5.28356,19.22768,6.352867
989,7.118079,21.65057,5.366403,19.2658,6.524191
991,7.272209,21.79141,5.404412,19.3557,6.58057
993,7.470074,21.93366,5.444053,19.55155,6.742859
995,7.692897,22.04502,5.583592,19.63448,6.920717
997,7.89493,22.02491,5.593297,19.70479,6.968003
999,8.07033,22.00928,5.597865,19.72983,7.014436
1001,8.361662,22.00553,5.598252,19.67097,7.060179
1003,8.767475,21.96294,5.599535,19.64158,7.03778
1005,8.910439,21.93367,5.597554,19.59413,7.014011
1007,9.006446,21.5263,5.416938,19.40248,6.807587
1009,9.198623,21.44786,5.411673,19.11713,6.76347
1011,9.400597,21.4071,5.410831,18.88284,6.697106
1013,9.598496,21.3664,5.401083,18.75804,6.653541
1015,9.826305,21.51035,5.350888,18.67576,6.552822
1017,10.32027,21.5434,5.300009,18.69226,6.544069
1019,10.76467,21.45309,5.263016,18.71014,6.470103
1021,11.15337,21.29316,5.241379,18.56337,6.434824
1023,11.39555,21.19448,5.216905,18.60025,6.372079
1025,11.63353,21.06318,5.19243,18.68651,6.302834
1027,11.86775,20.95002,5.15233,18.65219,6.243985
